Nr.;Formula;(set) top10;(set) top300;example
216;L(\widehat{\theta}_{\nu},\theta_{\nu})=\parallel\widehat{\theta}_{\nu}-\mbox{%sign}\langle\widehat{\theta}_{\nu},\theta_{\nu}\rangle\theta_{\nu}\parallel^{2};;;
217;\operatorname{\Delta x}_{1}\operatorname{\Delta x}_{2}\geq{\lambda}^{2}/(2\pi);;;
218;c;;;
219;\conjM{\mathbf{B}}\mathbf{\sigma_{3}}\mathbf{B}=\mathbf{\sigma_{3}};;;
220;S_{EH}=\frac{1}{G_{3}}\int d^{3}x\,\sqrt{-\contract{g}{3}}(\contract{R}{3}+{%\cal L}_{\rm matter});;;
221;S=-T\int d^{p+1}\sigma\,\sqrt{-\zeta}\Bigl{[}e^{-\beta U}\frac{1}{2}\tensor{%\zeta}{ab}{}\left(\tensor{G}{}{ba}-\tensor{\mathcal{F}}{}{ba}\right)-(p-1)%\Bigr{]};;;
222;\operatorname{Con}(\operatorname{ZF}+\neg\operatorname{AC});;;
223;\aleph_{0};;;
224;\operatorname{dcl}(A);;;
225;(x+y)/2;;;
226;\lfloor\ldots\rfloor;;;
227;1\leq k\leq n-1;;;
228;\alpha_{1}=\frac{X(\tau_{1})y}{\parallel X(\tau_{1})\parallel},\dots,\alpha_{j%+1}=\frac{X(\tau_{j+1})y}{\parallel X(\tau_{j+1})\parallel},\alpha_{j+2}=\frac%{X(\tau_{j+2})y}{\parallel X(\tau_{j+2})\parallel};;;
229;U(1);;;
230;{\cal L}=\{\pi_{1},\pi_{2}\};;;
231;t\in\bf R_{+};;;
232;h_{i}=\sum_{j}\hat{w}_{ij}s_{j};;;
233;A_{N}(\alpha,\beta)=\frac{1}{N}\mathbb{E}\ln\left(\sum_{\sigma}\exp(-\beta H_{%N}(\sigma))\right);;;
234;\operatorname{GF}(2);;;
235;\frac{dP}{dt}=rP\cdot\left(1-\frac{P}{K}\right);;;
236;\Phi:\mathcal{O}_{M}^{(m\mathbb{)}}\mathbb{\times}\mathcal{L}(\mathcal{S}_{n},%\mathcal{S}_{m})\rightarrow\mathcal{L}(\mathcal{S}_{n},\mathcal{S}_{m}):(f,A)%\mapsto fA;;;
237;AP=(P+a)A;;;
238;\operatorname{PA};;;
239;\left\{3k+4\right\}\subset\mathfrak{C};;;
240;F_{n+1}=\sum_{k\leq n}\binom{n-k}{k},\quad n\geq 0;;;
241;\operatorname{Con}(\operatorname{ZFC}+\operatorname{IFS}_{\operatorname{W\!Ab}%\,L(V_{\alpha})});;;
242;\partial^{\gamma\dot{\gamma}}\partial_{\gamma\dot{\gamma}}\ \phi^{(k,n)}_{%\alpha_{1}\cdots\alpha_{k}\,\dot{\beta}_{1}\cdots\dot{\beta}_{n}}=2e^{2}m^{2}%\,x^{\alpha_{k+1}}\dot{\beta}_{n+1}\,x^{\alpha_{k+2}\dot{\beta}_{n+2}}\,\phi^{%(k+2,n+2)}_{\alpha_{1}\cdots\alpha_{k}\alpha_{k+1}\alpha_{k+2}\,\dot{\beta}_{1%}\cdots\dot{\beta}_{n}\dot{\beta}_{n+1}\dot{\beta}_{n+2}};;;
243;S_{\rm probe}=-(T_{4}L)\int d^{4}x\,\sqrt{-g}\left[{1\over 2}\left(1+\frac{g_{%s}\pi\sin\theta}{2(M_{s}L)(M_{s}y)^{2}}\right)|\partial y|^{2}-2\left(1-\frac{%g_{s}\pi\tan^{3}\theta}{8(M_{s}L)(M_{s}y)^{2}}\right)\right]\,,;;;
244;p(\lambda);;;
245;\theta=\frac{1}{\sigma};;;
246;"\Delta x\Delta{p}\geq\left|&lt;\commutator{\widehat{x}}{\widehat{p}}&gt;\right|";;;
247;"H_{\rm G}^{\rm phen}[N]=\frac{1}{16\pi G}\int_{\Sigma}\mathrm{d}^{3}x\bar{N}%&amp;%#10;\left[-6\sqrt{\bar{p}}\left(\frac{\sin\bar{\mu}\gamma\bar{k}}{\bar{\mu}%\gamma}%&amp;#10;\right)^{2}-\frac{1}{2\bar{p}^{3/2}}\left(\frac{\sin\bar{\mu}%\gamma\bar{k}}{%&amp;#10;\bar{\mu}\gamma}\right)^{2}(\delta E^{c}_{j}\delta E^{d}_%{k}\delta_{c}^{k}%&amp;#10;\delta_{d}^{j})+\sqrt{\bar{p}}(\delta K_{c}^{j}\delta K%_{d}^{k}\delta^{c}_{k}%&amp;#10;\delta^{d}_{j})-\frac{2}{\sqrt{\bar{p}}}\left(%\frac{\sin m\bar{\mu}\gamma\bar{%&amp;#10;k}}{m\bar{\mu}\gamma}\right)(\delta E^{c%}_{j}\delta K_{c}^{j})+\frac{1}{\bar{p%&amp;#10;}^{3/2}}(\delta_{cd}\delta^{jk}%\delta^{ef}\partial_{e}E^{c}_{j}\partial_{f}E^{%&amp;#10;d}_{k})\right]~{}{}.";;;
248;\mathcal{P};;;
249;S_{\rm BH}=(n-1)V/4G_{n}R\equiv 2\pi E_{\rm BH}R/n;;;
250;\tilde{g}_{\mu\nu}=G_{AB}\frac{\partial X^{A}}{\partial x^{\mu}}\frac{\partialX%^{B}}{\partial x^{\nu}};;;
251;ZFC+GCH;;;
252;C(K);;;
253;\Sigma;;;
254;f_{1}+f_{2}=2f_{0};;;
255;"H^{*}_{\lambda}=\left(\prod_{i=1}^{k}n_{i}!\right)\prod_{i&lt;j}\frac{n_{i}+n_{j}%}{n_{i}-n_{j}}=2^{-\frac{k}{2}}\sqrt{H_{\tilde{\lambda}}}";;;
256;{\mu}_{k}=E(C_{k});;;
257;1+x+x^{2}+\ldots+x^{n-1}+x^{n}=\frac{x^{n+1}-1}{x-1}{\rm\left(\right}{\rmassuming%}x\neq 1{\rm\left\right)};;;
258;\abs{\Gamma(L)}=p^{i}(p^{2i}-1);;;
259;"q(\pi_{n})\equiv\sum_{\alpha\neq\beta}&lt;\hat{P}(e_{\alpha})\hat{P}(\pi_{n})\hat%{P}(e_{\beta})&gt;";;;
260;(a,b,(c,d,e));;;
261;\vec{\xi}^{\mu},\tau^{\mu};;;
262;H=H_{S}+\sum_{i=1}^{N}H_{i}+V_{0}\otimes\sum_{i=1}^{N}A_{i};;;
263;N\times N;;;
264;\mathtt{list};;;
265;\Phi=\Phi^{(r)}\Phi^{(s)};;;
266;\displaystyle 1-a\,\bar{\partial}_{p}\,,;;;
267;\operatorname{NP};;;
268;f:{\mathbb{N}_{1}}\to{\mathbb{N}_{1}};;;
269;b(k);;;
270;S\leq\frac{A}{4G};;;
271;(\eta_{\mu\nu})=\diag(-1,1,1,1);;;
272;{\conjM{U}}_{\pm}=U_{\pm};;;
273;F_{\alpha\beta};;;
274;\nu_{\Psi};;;
275;\Delta x\Delta{v}\geq\frac{dm^{2}}{2}\mean{E^{-3}};;;
276;v_{p}=\frac{1}{\partial_{r}R}=1+\frac{1}{r^{2}\omega^{2}};;;
277;\RiemannZeta;;;
278;p\iff q;;;
279;A\oplus B;;;
280;"|A|=\begin{vmatrix}a&amp;b\\c&amp;d\end{vmatrix}=ad-bc";;;
281;"{}_{2}F_{1}(a,b;c;z)=\sum_{n=0}^{\infty}\frac{(a)_{n}(b)_{n}}{(c)_{n}}\frac{z^%{n}}{n!}";;;
282;a_{0}+\cfrac{b_{1}}{a_{1}+\cfrac{b_{2}}{a_{2}+\cfrac{b_{3}}{a_{3}+{{}_{\ddots}%}}}};;;
283;n=\frac{c}{v};;;
284;x_{n+1}=rx_{n}(1-x_{n});;;
285;g(x)=\frac{1}{(1+\mathrm{exp}(-x))};;;
286;F=ma;;;
287;"\left(\frac{a}{p}\right)=\begin{cases}1&amp;\text{ if }a\text{ is a quadratic %residue modulo }p\text{ and }a\not\equiv 0\pmod{p},\\-1&amp;\text{ if }a\text{ is a quadratic non-residue modulo }p,\\0&amp;\text{ if }a\equiv 0\pmod{p}.\end{cases}";;;
288;ax^{2}+bx+c=0;;;
289;x=\log_{2}n\quad\Longleftrightarrow\quad 2^{x}=n;;;
290;\binom{n}{k}=\frac{n!}{k!(n-k)!};;;
291;\lim_{x\to c}\frac{f(x)}{g(x)}=\lim_{x\to c}\frac{f^{\prime}(x)}{g^{\prime}(x)};;;
292;1,2,2,3,3,4,4,4,5,5,5;;;
293;a_{n}x^{n}+a_{n-1}x^{n-1}+\cdots+a_{2}x^{2}+a_{1}x+a_{0};;;
294;\operatorname{log}_{10}(x);;;
295;E=mc^{2};;;
296;\nabla\times\mathbf{E}=-\frac{\partial\mathbf{B}}{\partial t};;;
297;\Gamma(z)=\int_{0}^{\infty}x^{z-1}e^{-x}\,dx;;;
298;(f\circ g)^{\prime}=(f^{\prime}\circ g)\cdot g^{\prime};;;
299;a^{2}+b^{2}=c^{2};;;
300;\varphi(\lambda_{1}x_{1}+\lambda_{2}x_{2}+\cdots+\lambda_{n}x_{n})\leq\lambda_%{1}\,\varphi(x_{1})+\lambda_{2}\,\varphi(x_{2})+\cdots+\lambda_{n}\,\varphi(x_%{n});;;
301;\frac{1}{c^{2}}\frac{\partial^{2}}{\partial t^{2}}\psi-\nabla^{2}\psi+\frac{m^%{2}c^{2}}{\hbar^{2}}\psi=0;;;
302;G_{\mu\nu}+\Lambda g_{\mu\nu}={8\pi G\over c^{4}}T_{\mu\nu};;;
;;;;
